person_idx,role,travel_path
1092,dc_driver,"['569', '79234', '7615', '20418', '79249', '20419', '64057', '20420', '79235', '19984', '64048', '82225', '20029', '64046', '20125', '64045', '20273', '20275', '20369', '15268', '20276', '484']"
164,dc_passenger,"['569', '79234', '7615', '20418', '79249', '20419', '64057', '20420', '79235', '19984', '64048', '82225', '20029', '64046', '20125', '64045', '20273', '20275', '20369', '15268', '20276', '484']"
1493,sov,"['569', '79234', '7615', '20418', '79249', '20419', '64057', '20420', '79235', '19984', '64048', '82225', '20029', '64046', '20125', '64045', '20273', '20275', '20369', '15268', '20276', '484']"
54,sov,"['1563', '9198', '19577', '19563', '78012', '19562', '19537', '78014', '19560', '64225', '19541', '19559', '19558', '78016', '19557', '65056', '19556', '78192', '19603', '19602', '64193', '20412', '79243', '79244', '79245', '79246', '20413', '79241', '20414', '20415', '79240', '20416', '25368', '20417', '64067', '7610', '79234', '7615', '20418', '79249', '20419', '64057', '20420', '79235', '19984', '64048', '82225', '20029', '64046', '20125', '64045', '20273', '20275', '20369', '15268', '20276', '484']"
659,sov,"['4168', '33155', '80320', '14026', '14028', '80318', '12786', '12865', '20679', '80315', '14025', '80313', '80314', '14027', '14032', '14041', '12752', '83329', '12579', '12581', '12574', '12576', '12570', '83327', '13721', '12549', '80128', '12751', '12538', '12306', '12536', '12313', '80065', '12537', '12308', '12311', '80207', '9824', '9826', '9814', '9817', '9802', '80292', '10204', '10205', '9811', '10206', '83288', '9804', '13089', '17217', '10219', '14607', '80605', '10192', '10221', '80621', '8062', '8157', '80623', '8058', '8158', '80733', '8055', '15094', '80732', '19744', '19743', '19742', '80713', '19727', '19741', '80712', '80711', '80710', '19740', '19739', '19738', '80714', '13837', '25347', '19737', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
909,sov,"['4187', '72275', '12777', '25126', '14018', '14019', '14208', '33521', '14033', '80316', '14054', '12665', '12664', '12643', '12580', '80084', '12581', '12574', '12576', '12570', '83327', '13721', '12549', '80128', '12751', '12538', '12306', '12536', '12313', '80065', '12537', '12308', '12311', '80207', '9824', '9826', '9814', '9817', '9802', '80292', '10204', '10205', '9811', '10206', '83288', '9804', '13089', '17217', '10219', '14607', '80605', '10192', '10221', '80621', '8062', '8157', '80623', '8058', '8158', '80733', '8055', '15094', '80732', '19744', '19743', '19742', '80713', '19727', '19741', '80712', '80711', '80710', '19740', '19739', '19738', '80714', '13837', '25347', '19737', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
1517,sov,"['3927', '11614', '11615', '36937', '72590', '72593', '12924', '83376', '82084', '11600', '11581', '11601', '11579', '11337', '11338', '11343', '11560', '11339', '11340', '80410', '11390', '11561', '11553', '13528', '11386', '11562', '11524', '11525', '11563', '7959', '80648', '80649', '7961', '79412', '7962', '7963', '7964', '8133', '7753', '80695', '8134', '7755', '8135', '7757', '8136', '7759', '7763', '79286', '7761', '79288', '7767', '8138', '7929', '79343', '7732', '79376', '7733', '7734', '20095', '20108', '20110', '20111', '20317', '36285', '20253', '64133', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
1007,sov,"['3778', '13348', '73007', '21484', '65458', '73006', '33357', '73002', '65456', '15813', '15804', '27102', '24915', '72999', '15791', '79004', '13356', '15789', '79003', '79002', '13357', '65514', '15783', '24912', '72982', '36920', '24907', '72987', '15765', '13309', '15757', '79005', '24910', '11268', '79008', '11155', '11156', '64674', '8178', '8179', '8187', '79021', '79022', '8180', '64673', '32003', '25272', '8182', '8183', '31006', '80914', '8184', '14618', '8185', '8242', '8401', '8418', '8402', '80874', '8405', '80872', '8406', '8407', '8408', '8882', '8409', '80869', '8410', '80868', '8883', '8884', '8983', '8674', '8984', '8676', '8673', '8978', '8681', '8980', '8679', '8981', '8684', '8686', '8982', '8687', '8689', '79114', '79115', '8641', '8711', '8642', '7769', '7822', '79087', '7825', '7770', '79091', '7773', '79360', '79359', '7774', '7775', '20600', '20601', '17189', '20110', '20111', '20317', '36285', '20253', '64133', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
589,sov,"['454', '74207', '19806', '19805', '19804', '19803', '19802', '7508', '80708', '20284', '19776', '19775', '19774', '19773', '19772', '19771', '80720', '80719', '20054', '19770', '20390', '20389', '20388', '484']"
1148,sov,"['4698', '65677', '15587', '15584', '37027', '72546', '15600', '64831', '15596', '65675', '15585', '15588', '37031', '15590', '64835', '15578', '64837', '15579', '15597', '15599', '80385', '33053', '72495', '80384', '12587', '64847', '14829', '14110', '80122', '14830', '64845', '22123', '14111', '25215', '15073', '33136', '12744', '12625', '80121', '12626', '12630', '36596', '36595', '80231', '11393', '32486', '32487', '15026', '11394', '36583', '11418', '11399', '72445', '72442', '80237', '11400', '80238', '72440', '65076', '11401', '14201', '13598', '11408', '11423', '11422', '65079', '13563', '36573', '11421', '64581', '11461', '15169', '11459', '11454', '11388', '65081', '15376', '11387', '11385', '80263', '11386', '11562', '11524', '11525', '11563', '7959', '80648', '80649', '7961', '79412', '7962', '7963', '7964', '8133', '7753', '80695', '8134', '7755', '8135', '7757', '8136', '7759', '7763', '79286', '7761', '79288', '7767', '8138', '7929', '79343', '7732', '79376', '7733', '7734', '20095', '20108', '20110', '20111', '20317', '36285', '20253', '64133', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
1296,sov,"['1049', '11838', '11769', '11837', '11836', '11750', '11777', '11881', '11882', '11860', '11854', '8853', '8854', '8855', '8858', '8860', '8861', '8866', '8865', '8870', '8871', '79101', '8872', '8702', '8711', '8642', '7769', '7822', '79087', '7825', '7770', '79091', '7773', '79360', '79359', '7774', '7775', '20600', '20601', '17189', '20110', '20111', '20317', '36285', '20253', '64133', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
254,sov,"['1950', '72289', '12728', '14049', '12700', '11321', '13795', '13600', '12749', '83317', '12558', '12561', '12555', '12557', '12552', '12553', '12750', '12549', '80128', '12751', '12538', '12306', '12536', '12313', '80065', '12537', '12308', '12311', '80207', '9824', '9826', '9814', '9817', '9802', '80292', '10204', '10205', '9811', '10206', '83288', '9804', '13089', '17217', '10219', '14607', '80605', '10192', '10221', '80621', '8062', '8157', '80623', '8058', '8158', '80733', '8055', '15094', '80732', '19744', '19743', '19742', '80713', '19727', '19741', '80712', '80711', '80710', '19740', '19739', '19738', '80714', '13837', '25347', '19737', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
438,sov,"['3595', '64664', '73202', '64663', '27104', '11196', '79043', '13739', '20906', '73217', '25252', '14336', '25256', '13734', '13167', '25260', '79039', '79038', '13168', '79040', '11199', '65447', '11252', '36907', '36908', '12927', '73220', '79032', '82507', '12928', '14655', '84997', '14359', '25269', '83995', '8357', '79074', '8202', '8264', '8381', '49831', '8324', '8337', '22039', '8251', '8252', '8273', '8253', '8254', '80976', '8255', '80972', '8256', '8257', '14255', '8258', '14252', '80953', '8644', '22124', '8638', '8693', '80909', '79111', '79113', '8641', '8711', '8642', '7769', '7822', '79087', '7825', '7770', '79091', '7773', '79360', '79359', '7774', '7775', '20600', '20601', '17189', '20110', '20111', '20317', '36285', '20253', '64133', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
1429,sov,"['2257', '72331', '72332', '9900', '36496', '80143', '9852', '9899', '72388', '9898', '80169', '9879', '36513', '9875', '13586', '13585', '9870', '9869', '13578', '36488', '9868', '64237', '14247', '80213', '13580', '83359', '82697', '17220', '84140', '82696', '84141', '84142', '84143', '84144', '84155', '15487', '22119', '9802', '80292', '10204', '10205', '9811', '10206', '83288', '9804', '13089', '17217', '10219', '14607', '80605', '10192', '10221', '80621', '8062', '8157', '80623', '8058', '8158', '80733', '8055', '15094', '80732', '19744', '19743', '19742', '80713', '19727', '19741', '80712', '80711', '80710', '19740', '19739', '19738', '80714', '13837', '25347', '19737', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
660,sov,"['4453', '64970', '15988', '15990', '15998', '16010', '16013', '36997', '16041', '16067', '16068', '65389', '16092', '37004', '16114', '37009', '16121', '16126', '64936', '82092', '16149', '81106', '16164', '16165', '16166', '81092', '37013', '81091', '81090', '16192', '16193', '25151', '34017', '16207', '34022', '16229', '16241', '16243', '81076', '16248', '16278', '16289', '10672', '10673', '10674', '10684', '10688', '10676', '10695', '10678', '10694', '14415', '14416', '14418', '10699', '10679', '10680', '10702', '9932', '9933', '9947', '9934', '83458', '83423', '14395', '83430', '9935', '83459', '9958', '84985', '9938', '9939', '9940', '14587', '13640', '13642', '13644', '13646', '13650', '13679', '13652', '13654', '83212', '13657', '19953', '79139', '79144', '79146', '7867', '7868', '7871', '13230', '7872', '7873', '8050', '79209', '8152', '7857', '79208', '20275', '20369', '15268', '20276', '484']"
714,sov,"['1563', '9198', '19577', '19563', '78012', '19562', '19537', '78014', '19560', '64225', '19541', '19559', '19558', '78016', '19557', '65056', '19556', '78192', '19603', '19602', '64193', '20412', '79243', '79244', '79245', '79246', '20413', '79241', '20414', '20415', '79240', '20416', '25368', '20417', '64067', '7610', '79234', '7615', '20418', '79249', '20419', '64057', '20420', '79235', '19984', '64048', '82225', '20029', '64046', '20125', '64045', '20273', '20275', '20369', '15268', '20276', '484']"
1244,sov,"['569', '79234', '7615', '20418', '79249', '20419', '64057', '20420', '79235', '19984', '64048', '82225', '20029', '64046', '20125', '64045', '20273', '20275', '20369', '15268', '20276', '484']"
1272,dc_driver,"['2223', '10616', '10615', '10614', '10594', '10601', '65670', '12849', '12639', '12638', '33044', '12503', '14976', '12502', '12501', '80070', '72402', '72399', '72403', '14072', '12312', '12314', '12537', '12308', '12311', '80207', '9824', '9826', '9814', '9817', '9802', '80292', '10204', '10205', '9811', '10206', '83288', '9804', '13089', '17217', '10219', '14607', '80605', '10192', '10221', '80621', '8062', '8157', '80623', '8058', '8158', '80733', '8055', '15094', '80732', '19744', '19743', '19742', '80713', '19727', '19741', '80712', '80711', '80710', '19740', '19739', '19738', '80714', '13837', '25347', '19737', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
69,dc_passenger,"['2223', '10616', '10615', '10614', '10594', '10601', '65670', '12849', '12639', '12638', '33044', '12503', '14976', '12502', '12501', '80070', '72402', '72399', '72403', '14072', '12312', '12314', '12537', '12308', '12311', '80207', '9824', '9826', '9814', '9817', '9802', '80292', '10204', '10205', '9811', '10206', '83288', '9804', '13089', '17217', '10219', '14607', '80605', '10192', '10221', '80621', '8062', '8157', '80623', '8058', '8158', '80733', '8055', '15094', '80732', '19744', '19743', '19742', '80713', '19727', '19741', '80712', '80711', '80710', '19740', '19739', '19738', '80714', '13837', '25347', '19737', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
1372,sov,"['5072', '57246', '57249', '56163', '56162', '56160', '56159', '56158', '56154', '83982', '83983', '56152', '24843', '56148', '56144', '56143', '66000', '56138', '65683', '56137', '24854', '56136', '56112', '11571', '11572', '11590', '11574', '11586', '11575', '13526', '79406', '11576', '11577', '11579', '11337', '11338', '11343', '11560', '11339', '11340', '80410', '11390', '11561', '11553', '13528', '11386', '11562', '11524', '11525', '11563', '7959', '80648', '80649', '7961', '79412', '7962', '7963', '7964', '8133', '7753', '80695', '8134', '7755', '8135', '7757', '8136', '7759', '7763', '79286', '7761', '79288', '7767', '8138', '7929', '79343', '7732', '79376', '7733', '7734', '20095', '20108', '20110', '20111', '20317', '36285', '20253', '64133', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
1401,sov,"['1733', '65042', '9138', '9137', '74436', '65928', '9136', '65934', '74438', '14926', '25460', '9135', '9134', '9133', '78076', '9132', '9130', '74454', '9129', '9012', '81983', '13891', '19501', '14810', '78205', '7717', '14676', '79330', '7720', '7721', '7722', '79346', '7580', '7579', '20300', '19840', '79302', '36287', '19841', '19842', '79301', '19843', '19844', '19845', '64136', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
1264,sov,"['4688', '37031', '15590', '64835', '15578', '64837', '15579', '15597', '15599', '80385', '33053', '72495', '80384', '12587', '64847', '14829', '14110', '80122', '14830', '64845', '22123', '14111', '25215', '15073', '33136', '12744', '12625', '80121', '12626', '12630', '36596', '36595', '80231', '11393', '32486', '32487', '15026', '11394', '36583', '11418', '11399', '72445', '72442', '80237', '11400', '80238', '72440', '65076', '11401', '14201', '13598', '11408', '11423', '11422', '65079', '13563', '36573', '11421', '64581', '11461', '15169', '11459', '11454', '11388', '65081', '15376', '11387', '11385', '80263', '11386', '11562', '11524', '11525', '11563', '7959', '80648', '80649', '7961', '79412', '7962', '7963', '7964', '8133', '7753', '80695', '8134', '7755', '8135', '7757', '8136', '7759', '7763', '79286', '7761', '79288', '7767', '8138', '7929', '79343', '7732', '79376', '7733', '7734', '20095', '20108', '20110', '20111', '20317', '36285', '20253', '64133', '19846', '64144', '20112', '64145', '20046', '66042', '20047', '20048', '20049', '20360', '20050', '20051', '20052', '78287', '20376', '64034', '20053', '20143', '38199', '66039', '38198', '66037', '19794', '20171', '20278', '20390', '20389', '20388', '484']"
1389,sov,"['2123', '33050', '72301', '12606', '33012', '33011', '12343', '12344', '65562', '80116', '33394', '12324', '12345', '12325', '12326', '13076', '13077', '12327', '36529', '72404', '12329', '12330', '64250', '12476', '12489', '80057', '15393', '12511', '12332', '12333', '12334', '12335', '80173', '12336', '12465', '12466', '12467', '80184', '80183', '12519', '80187', '80186', '80185', '12520', '79426', '12310', '12311', '80207', '9824', '9826', '9814', '9817', '9802', '80292', '10204', '10205', '9811', '10206', '83288', '9804', '13089', '17217', '10219', '14607', '80605', '10192', '10221', '80621', '8062', '8157', '80623', '8058', '8158', '80733', '8055', '15094', '80732', '19744', '19743', '19742', '80713', '19727', '19741', '80712', '80711', '80710', '19740', '19739', '19738', '80714', '13837', '25347', '19737', '80717', '20055', '20054', '19770', '20390', '20389', '20388', '484']"
